ID Easting Northing Altitude Retro Angle Distance UTC Long Lat Pic
2122978.0 735455.787 3752118.37 288.36 0.78 0.55093 8.854 69052.58859 -84.454138087 33.883157927 303
2123103.0 735455.759 3752118.263 289.156 0.769 0.64342 9.042 69052.60161 -84.454138426 33.883156965 303
2123104.0 735455.751 3752118.272 289.049 0.776 0.6331399999999999 8.987 69052.60164 -84.45413850199999 33.883157053000005 303
2123105.0 735455.746 3752118.277 288.94 0.773 0.6228600000000001 8.927 69052.60167999999 -84.45413856399999 33.883157095 303
2123106.0 735455.737 3752118.293 288.84 0.773 0.61258 8.885 69052.60171 -84.454138655 33.883157245 303
2123107.0 735455.73 3752118.301 288.735 0.773 0.60229 8.832 69052.60174 -84.454138723 33.883157311 303
2123108.0 735455.728 3752118.293 288.622 0.78 0.59201 8.763 69052.60177000001 -84.45413875199999 33.883157248 303
2123109.0 735455.719 3752118.309 288.525 0.776 0.58173 8.722999999999999 69052.60181000001 -84.45413884 33.883157386 303
2123110.0 735455.717 3752118.3 288.414 0.776 0.57145 8.656 69052.60184 -84.454138865 33.883157313000005 303
2123111.0 735455.712 3752118.303 288.311 0.78 0.56117 8.604 69052.60187 -84.454138918 33.883157338000004 303
2123236.0 735455.682 3752118.211 289.086 0.773 0.65375 8.792 69052.61489 -84.45413927 33.883156515 303
2123237.0 735455.675 3752118.22 288.981 0.776 0.64347 8.737 69052.61492 -84.45413934300001 33.883156599 303
2123238.0 735455.668 3752118.23 288.878 0.776 0.6331899999999999 8.684 69052.61495 -84.454139416 33.883156686 303
2123239.0 735455.66 3752118.243 288.779 0.773 0.6229100000000001 8.638 69052.61499 -84.454139501 33.883156811999996 303
2123240.0 735455.657 3752118.237 288.666 0.776 0.6126199999999999 8.568999999999999 69052.61502000001 -84.45413953100001 33.883156753 303
2123241.0 735455.651 3752118.242 288.564 0.776 0.60234 8.516 69052.61505 -84.454139592 33.883156803 303
2123242.0 735455.647 3752118.241 288.458 0.773 0.59206 8.456 69052.61508999999 -84.454139635 33.883156792 303
2123243.0 735455.641 3752118.25 288.361 0.78 0.58178 8.411 69052.61512 -84.454139705 33.883156877 303
2123244.0 735455.632 3752118.267 288.27 0.78 0.5715 8.377 69052.61515 -84.454139795 33.883157033 303
2123368.0 735455.611 3752118.15 289.111 0.769 0.67416 8.594 69052.62814 -84.454140047 33.88315598 303
2123369.0 735455.605 3752118.158 289.006 0.773 0.66388 8.537 69052.62817000001 -84.454140118 33.883156059 303
2123370.0 735455.598 3752118.165 288.902 0.773 0.65359 8.479 69052.6282 -84.454140183 33.883156118 303
2123371.0 735455.59 3752118.179 288.805 0.776 0.64331 8.433 69052.62823 -84.454140267 33.883156249 303
2123372.0 735455.58 3752118.2 288.713 0.78 0.6330399999999999 8.396 69052.62827 -84.454140368 33.883156435 303
2123373.0 735455.578 3752118.194 288.604 0.78 0.62275 8.328 69052.6283 -84.4541404 33.883156387 303
2123374.0 735455.572 3752118.201 288.505 0.773 0.61247 8.277999999999999 69052.62832999999 -84.454140463 33.883156449 303
2123375.0 735455.57 3752118.19 288.395 0.773 0.60219 8.206 69052.62836 -84.454140479 33.883156346999996 303
2123376.0 735455.56 3752118.213 288.31 0.776 0.59191 8.179 69052.6284 -84.454140585 33.883156561 303
2123501.0 735455.532 3752118.105 289.029 0.761 0.68438 8.346 69052.64142 -84.45414092 33.883155593000005 303
2123502.0 735455.523 3752118.121 288.934 0.769 0.6741 8.3 69052.64145 -84.45414101 33.883155743 303
2123503.0 735455.518 3752118.124 288.828 0.769 0.66382 8.237 69052.64147999999 -84.454141062 33.883155764 303
2123504.0 735455.512 3752118.13 288.727 0.773 0.65354 8.181000000000001 69052.64151 -84.454141125 33.883155821 303
2123505.0 735455.509 3752118.127 288.621 0.776 0.64325 8.115 69052.64155 -84.45414116399999 33.883155797 303
2123506.0 735455.501 3752118.139 288.527 0.773 0.63297 8.07 69052.64158 -84.454141241 33.883155908 303
2123507.0 735455.496 3752118.143 288.429 0.773 0.62269 8.016 69052.64161 -84.454141295 33.883155943 303
2123508.0 735455.492 3752118.141 288.328 0.769 0.61241 7.957999999999999 69052.64164 -84.454141336 33.883155931 303
2123633.0 735455.459 3752118.05 289.042 0.769 0.70498 8.15 69052.65467 -84.454141724 33.883155114000004 303
2123634.0 735455.45 3752118.068 288.949 0.765 0.6947 8.105 69052.6547 -84.454141816 33.883155277 303
2123635.0 735455.446 3752118.065 288.84 0.769 0.68442 8.035 69052.65473 -84.454141856 33.883155251999995 303
2123636.0 735455.441 3752118.069 288.739 0.765 0.67413 7.975 69052.65476 -84.454141912 33.883155288000005 303
2123637.0 735455.432 3752118.088 288.651 0.78 0.66386 7.937 69052.65479 -84.454142007 33.883155465 303
2123638.0 735455.431 3752118.074 288.537 0.769 0.65357 7.856 69052.65483 -84.454142014 33.883155333000005 303
2123639.0 735455.424 3752118.087 288.447 0.769 0.6432899999999999 7.813 69052.65486000001 -84.454142092 33.883155452 303
2123640.0 735455.419 3752118.091 288.352 0.773 0.6330100000000001 7.76 69052.65488999999 -84.45414214600001 33.88315549 303
2123641.0 735455.416 3752118.087 288.252 0.776 0.62273 7.699 69052.65492 -84.45414218 33.883155459 303
2123767.0 735455.373 3752118.009 288.842 0.769 0.70481 7.831 69052.66798 -84.454142663 33.883154763 303
2123768.0 735455.365 3752118.022 288.749 0.765 0.69453 7.782 69052.66801000001 -84.454142741 33.88315488 303
